Connecting to host 10.0.2.2, port 5201
[ 14] local 10.0.1.2 port 38580 connected to 10.0.2.2 port 5201
[ 14] 191.00-192.00 sec  1018 KBytes  8.34 Mbits/sec    3   48.1 KBytes       
[ 14] 192.00-193.00 sec  1018 KBytes  8.34 Mbits/sec    3   32.5 KBytes       
[ 14] 193.00-194.00 sec  1.12 MBytes  9.38 Mbits/sec    2   43.8 KBytes       
[ 14] 194.00-195.00 sec  1018 KBytes  8.34 Mbits/sec    4   28.3 KBytes       
[ 14] 195.00-196.00 sec  1018 KBytes  8.34 Mbits/sec    2   41.0 KBytes       
[ 14] 196.00-197.00 sec  1018 KBytes  8.34 Mbits/sec    4   48.1 KBytes       
[ 14] 197.00-198.00 sec  1.06 MBytes  8.86 Mbits/sec    3   35.4 KBytes       
[ 14] 198.00-199.00 sec   891 KBytes  7.30 Mbits/sec    4   29.7 KBytes       
[ 14] 199.00-200.00 sec   954 KBytes  7.82 Mbits/sec    2   41.0 KBytes       
[ 14] 200.00-201.00 sec  1018 KBytes  8.34 Mbits/sec    2   52.3 KBytes       
[ 14] 201.00-202.00 sec  1.06 MBytes  8.86 Mbits/sec    5   33.9 KBytes       
[ 14] 202.00-203.00 sec  1018 KBytes  8.34 Mbits/sec    2   45.2 KBytes       
[ 14] 203.00-204.00 sec  1.12 MBytes  9.38 Mbits/sec    5   28.3 KBytes       
[ 14] 204.00-205.00 sec   954 KBytes  7.82 Mbits/sec    2   38.2 KBytes       
[ 14] 205.00-206.00 sec  1018 KBytes  8.34 Mbits/sec    4   46.7 KBytes       
[ 14] 206.00-207.00 sec  1.06 MBytes  8.86 Mbits/sec    5   29.7 KBytes       
[ 14] 207.00-208.00 sec  1018 KBytes  8.34 Mbits/sec    2   41.0 KBytes       
[ 14] 208.00-209.00 sec  1.06 MBytes  8.86 Mbits/sec    2   52.3 KBytes       
[ 14] 209.00-210.00 sec  1018 KBytes  8.34 Mbits/sec    5   35.4 KBytes       
[ 14] 210.00-211.00 sec  1018 KBytes  8.34 Mbits/sec    2   46.7 KBytes       
[ 14] 211.00-212.00 sec  1018 KBytes  8.34 Mbits/sec    6   25.5 KBytes       
[ 14] 212.00-213.00 sec  1.06 MBytes  8.86 Mbits/sec    3   41.0 KBytes       
[ 14] 213.00-214.00 sec  1018 KBytes  8.34 Mbits/sec    2   49.5 KBytes       
[ 14] 214.00-215.00 sec  1018 KBytes  8.34 Mbits/sec    7   32.5 KBytes       
[ 14] 215.00-216.00 sec  1018 KBytes  8.34 Mbits/sec    4   39.6 KBytes       
[ 14] 216.00-217.00 sec  1.12 MBytes  9.38 Mbits/sec    2   50.9 KBytes       
[ 14] 217.00-218.00 sec  1018 KBytes  8.34 Mbits/sec    4   39.6 KBytes       
[ 14] 218.00-219.00 sec  1018 KBytes  8.34 Mbits/sec    2   49.5 KBytes       
[ 14] 219.00-220.00 sec  1018 KBytes  8.34 Mbits/sec    5   31.1 KBytes       
[ 14] 220.00-221.00 sec  1018 KBytes  8.34 Mbits/sec    2   42.4 KBytes       
[ 14] 221.00-222.00 sec  1.12 MBytes  9.38 Mbits/sec    2   52.3 KBytes       
[ 14] 222.00-223.00 sec   954 KBytes  7.82 Mbits/sec    4   38.2 KBytes       
[ 14] 223.00-224.00 sec  1018 KBytes  8.34 Mbits/sec    2   49.5 KBytes       
[ 14] 224.00-225.00 sec  1.12 MBytes  9.38 Mbits/sec    6   28.3 KBytes       
[ 14] 225.00-226.00 sec  1018 KBytes  8.34 Mbits/sec    3   39.6 KBytes       
[ 14] 226.00-227.00 sec  1018 KBytes  8.34 Mbits/sec    3   49.5 KBytes       
[ 14] 227.00-228.00 sec  1018 KBytes  8.34 Mbits/sec    4   33.9 KBytes       
[ 14] 228.00-229.00 sec  1.12 MBytes  9.38 Mbits/sec    2   45.2 KBytes       
[ 14] 229.00-230.00 sec  1018 KBytes  8.34 Mbits/sec    4   31.1 KBytes       
[ 14] 230.00-231.00 sec  1.06 MBytes  8.86 Mbits/sec    2   43.8 KBytes       
[ 14] 231.00-232.00 sec  1018 KBytes  8.34 Mbits/sec    4   52.3 KBytes       
[ 14] 232.00-233.00 sec  1018 KBytes  8.34 Mbits/sec    4   36.8 KBytes       
[ 14] 233.00-234.00 sec  1018 KBytes  8.34 Mbits/sec    2   46.7 KBytes       
[ 14] 234.00-235.00 sec  1.12 MBytes  9.38 Mbits/sec    5   28.3 KBytes       
[ 14] 235.00-236.00 sec   954 KBytes  7.82 Mbits/sec    3   38.2 KBytes       
[ 14] 236.00-237.00 sec  1018 KBytes  8.34 Mbits/sec    2   48.1 KBytes       
[ 14] 237.00-238.00 sec  1018 KBytes  8.34 Mbits/sec    5   19.8 KBytes       
[ 14] 238.00-239.00 sec  1018 KBytes  8.34 Mbits/sec    3   29.7 KBytes       
[ 14] 239.00-240.00 sec  1018 KBytes  8.34 Mbits/sec    2   38.2 KBytes       
[ 14] 240.00-241.00 sec  1018 KBytes  8.34 Mbits/sec    3   43.8 KBytes       
[ 14] 241.00-242.00 sec  1.12 MBytes  9.38 Mbits/sec    3   49.5 KBytes       
[ 14] 242.00-243.00 sec  1.06 MBytes  8.86 Mbits/sec    4   41.0 KBytes       
[ 14] 243.00-244.00 sec  1018 KBytes  8.34 Mbits/sec    4   33.9 KBytes       
[ 14] 244.00-245.00 sec  1018 KBytes  8.34 Mbits/sec    2   43.8 KBytes       
[ 14] 245.00-246.00 sec  1.12 MBytes  9.38 Mbits/sec    2   52.3 KBytes       
[ 14] 246.00-247.00 sec  1018 KBytes  8.34 Mbits/sec    6   32.5 KBytes       
[ 14] 247.00-248.00 sec  1018 KBytes  8.34 Mbits/sec    4   38.2 KBytes       
[ 14] 248.00-249.00 sec  1.12 MBytes  9.38 Mbits/sec    2   46.7 KBytes       
[ 14] 249.00-250.00 sec  1018 KBytes  8.34 Mbits/sec    4   31.1 KBytes       
[ 14] 250.00-251.00 sec   891 KBytes  7.30 Mbits/sec    1   52.3 KBytes       
[ 14] 251.00-252.00 sec  1.12 MBytes  9.38 Mbits/sec    4   32.5 KBytes       
[ 14] 252.00-253.00 sec  1018 KBytes  8.34 Mbits/sec    4   39.6 KBytes       
[ 14] 253.00-254.00 sec  1018 KBytes  8.34 Mbits/sec    2   48.1 KBytes       
[ 14] 254.00-255.00 sec  1.12 MBytes  9.38 Mbits/sec    4   42.4 KBytes       
[ 14] 255.00-256.00 sec  1018 KBytes  8.34 Mbits/sec    1   38.2 KBytes       
[ 14] 256.00-257.00 sec  1.12 MBytes  9.38 Mbits/sec    2   48.1 KBytes       
[ 14] 257.00-258.00 sec  1018 KBytes  8.34 Mbits/sec    5   25.5 KBytes       
[ 14] 258.00-259.00 sec  1018 KBytes  8.34 Mbits/sec    2   38.2 KBytes       
[ 14] 259.00-260.00 sec  1.12 MBytes  9.38 Mbits/sec    2   48.1 KBytes       
[ 14] 260.00-261.00 sec  1018 KBytes  8.34 Mbits/sec    4   55.1 KBytes       
[ 14] 261.00-262.00 sec  1.12 MBytes  9.38 Mbits/sec    6   33.9 KBytes       
[ 14] 262.00-263.00 sec  1018 KBytes  8.34 Mbits/sec    2   43.8 KBytes       
[ 14] 263.00-264.00 sec  1.12 MBytes  9.38 Mbits/sec    2   53.7 KBytes       
[ 14] 264.00-265.00 sec  1018 KBytes  8.34 Mbits/sec    5   32.5 KBytes       
[ 14] 265.00-266.00 sec  1.06 MBytes  8.86 Mbits/sec    2   42.4 KBytes       
[ 14] 266.00-267.00 sec  1018 KBytes  8.34 Mbits/sec    2   50.9 KBytes       
[ 14] 267.00-268.00 sec  1.12 MBytes  9.38 Mbits/sec    6   33.9 KBytes       
[ 14] 268.00-269.00 sec  1018 KBytes  8.34 Mbits/sec    2   39.6 KBytes       
[ 14] 269.00-270.00 sec  1018 KBytes  8.34 Mbits/sec    4   45.2 KBytes       
[ 14] 270.00-271.00 sec  1.18 MBytes  9.90 Mbits/sec    2   52.3 KBytes       
[ 14] 271.00-272.00 sec  1018 KBytes  8.34 Mbits/sec    4   35.4 KBytes       
[ 14] 272.00-273.00 sec  1018 KBytes  8.34 Mbits/sec    2   46.7 KBytes       
[ 14] 273.00-274.00 sec  1.06 MBytes  8.86 Mbits/sec    2   55.1 KBytes       
[ 14] 274.00-275.00 sec  1018 KBytes  8.34 Mbits/sec    5   36.8 KBytes       
[ 14] 275.00-276.00 sec  1.12 MBytes  9.38 Mbits/sec    2   46.7 KBytes       
[ 14] 276.00-277.00 sec  1018 KBytes  8.34 Mbits/sec    2   52.3 KBytes       
[ 14] 277.00-278.00 sec  1018 KBytes  8.34 Mbits/sec    2   48.1 KBytes       
[ 14] 278.00-279.00 sec  1018 KBytes  8.34 Mbits/sec    4   29.7 KBytes       
[ 14] 279.00-280.00 sec  1018 KBytes  8.34 Mbits/sec    2   39.6 KBytes       
[ 14] 280.00-281.00 sec  1.12 MBytes  9.38 Mbits/sec    1   49.5 KBytes       
[ 14] 281.00-282.00 sec  1018 KBytes  8.34 Mbits/sec    5   17.0 KBytes       
